id,Robot Name,Robot Type,Map Name,Error Code,Title,Description,status,Assigned User,note,Time Stamp,Resolution Time,Resolution Time (s),Unique ID
380479,TCF_BOX_1,MAG_FORKLIFT,TCF_BOX,WF1-1.2,Robot is Offline,,UNRESOLVED,,,2026-08-04 21:57:27 +07:00,,,
380478,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,WF1-1.2,Robot is Offline,,UNRESOLVED,,,2026-08-04 21:57:10 +07:00,,,
380477,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:35 +07:00,00h 00m 01s,1,0408d619-1e51-4cbe-a38a-0a296eb9e0dc
380476,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:32 +07:00,00h 00m 01s,1,54c11420-98b7-4609-aa6c-6bb515b00e17
380475,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:30 +07:00,00h 00m 01s,1,a0ebe29a-194f-47dc-b9c2-2b805ae74f63
380474,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:26 +07:00,00h 00m 00s,0,de50f0c0-c228-4114-aa0f-86613b2c185b
380473,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:20 +07:00,00h 00m 02s,2,495f14e9-d00a-4cbc-b9c5-9c115a02a102
380472,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:14 +07:00,00h 00m 05s,5,3fa1a8a6-2b30-4a09-8771-25f6d6d12a48
380471,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:11 +07:00,00h 00m 01s,1,6fb39ac7-3dd1-4ac0-a77d-e52ef444af80
380470,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:56:07 +07:00,00h 00m 02s,2,ebebbb17-74c7-40f0-8ab6-46dbbb52b56f
380469,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:55:56 +07:00,00h 00m 08s,8,14d70746-6acc-4c05-902e-9f2a3050e6a6
380468,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:55:50 +07:00,00h 00m 03s,3,e645bcf4-f91d-4efb-9d2b-def22c254428
380467,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:55:48 +07:00,00h 00m 01s,1,02849b3f-c6c9-4e66-9896-04bf2a024441
380466,TCF_BOX_2,MAG_FORKLIFT,TCF_BOX,EH6-6.1,Low Localization Score,Please try to set the correct pose of robot,RESOLVED,,,2026-08-04 21:55:46 +07:00,00h 00m 01s,1,9eb9b829-3981-4f71-b292-e385261bf5af
